Question,Answer
1,T
2,T
3,T
4,F
5,T
6,F
7,F
8,T
9,T
10,T
11,T
12,T
13,T
14,F
15,T
16,T
17,F
18,T
19,T
20,T
21,T
22,T
23,T
24,T
25,T
26,F
27,T
28,T
29,T
30,F
31,T
32,T
33,F
34,T
35,T
36,T
37,T
38,F
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,T
47,T
48,T
49,F
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,F
59,T
60,T
61,T
62,T
63,F
64,T
65,F
66,T
67,T
68,T
69,T
70,F
71,T
72,T
73,F
74,T
75,T
76,T
77,T
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,T
88,T
89,T
90,T
91,T
92,F
93,F
94,T
95,T
96,T
97,F
98,T
99,T
100,T
101,T
102,F
103,T
104,T
105,T
106,T
107,F
108,F
109,F
110,T
111,F
112,T
113,T
114,F
115,T
116,T
117,F
118,T
119,T
120,T
121,T
122,F
123,T
124,T
125,T
126,T
127,T
128,F
129,T
130,T
131,T
132,T
133,T
134,T
135,T
136,T
137,F
138,T
139,T
140,F
141,T
142,T
143,T
144,T
145,F
146,T
147,F
148,T
149,T
150,F
151,F
152,F
153,T
154,F
155,F
156,T
157,T
158,T
159,T
160,F
161,T
162,T
163,T
164,T
165,T
166,T
167,F
168,F
169,T
170,T
171,T
172,T
173,T
174,F
175,T
176,T
177,F
178,T
179,T
180,T
181,F
182,T
183,F
184,T
185,F
186,T
187,F
188,F
189,T
190,T
191,T
192,T
193,F
194,T
195,F
196,T
197,T
198,F
199,T
200,T
201,T
202,T
203,T
204,F
205,T
206,F
207,T
208,T
209,T
210,T
211,T
212,T
213,F
214,F
215,T
216,T
217,F
218,T
219,T
220,T
221,T
222,T
223,F
224,F
225,T
226,T
227,T
228,F
229,T
230,T
231,T
232,T
233,T
234,F
235,T
236,T
237,T
238,T
239,T
240,T
241,T
242,T
243,T
244,T
245,T
246,T
247,F
248,F
249,F
250,F
251,F
252,T
253,T
254,T
255,T
256,F
257,F
258,F
259,F
260,F
261,T
262,T
263,F
264,F
265,T
266,T
267,T
268,T
269,F
270,T
271,T
272,F
273,F
274,T
275,T
276,T
277,T
278,T
279,F
280,T
281,T
282,T
283,T
284,T
285,T
286,T
287,T
288,F
289,F
290,F
291,T
292,F
293,T
294,F
295,F
296,T
297,F
298,T
299,T
300,F
301,T
302,T
303,T
304,F
305,T
306,F
307,F
308,F
309,F
310,T
311,T
312,T
313,T
314,F
315,T
316,F
317,F
318,T
319,T
320,T
321,F
322,T
323,T
324,T
325,T
326,T
327,T
328,T
329,T
330,T
331,T
332,T
333,T
334,T
335,T
336,T
337,F
338,F
339,F
340,T
341,T
342,T
343,T
344,T
345,T
346,T
347,T
348,F
349,T
350,T
